"block","loc","scale","shape"
0,0.00164901023029918,0.00181956527894677,0.425066281285548
1,0.00193173867313273,0.00177051835746194,0.338433698896721
2,0.00270512587929903,0.00175801244580079,0.131971595708975
3,0.00283704461798026,0.00196164837484017,0.322122919381955
5,0.00294867427926235,0.00161012529604214,0.159312483979265
6,0.0029767036407662,0.00197978201344979,0.239216333588886
7,0.0027810970102099,0.00190375351813437,0.0977162428708993
8,0.00268810442991318,0.00175048917311728,0.0935549711007273
9,0.00375650030419876,0.00225239280287337,0.0470509763678747
10,0.00347314641663037,0.00226284028909192,0.106090135611619
11,0.00404615203503462,0.00271805461613577,0.0406039537915773
12,0.00308063038300293,0.0023981430617557,0.066360018434649
13,0.00249178432604665,0.00212748874527545,0.334801479467618
14,0.0023991376833468,0.00212863631712093,0.165320893638156
15,0.00156259327811211,0.00171054553233409,0.364149206576243
16,0.00166813691585437,0.00185629952098119,0.610041799483159
17,0.00152290049207739,0.00179477753027744,0.672704794356807
18,0.00203958007375515,0.00229312890883461,0.53148775187891
19,0.00269082336451922,0.00256230474914236,0.181561829011227
20,0.00287008612589579,0.00274831040613171,0.271642174969502
21,0.00287987440933207,0.00260567871454588,0.243333679054829
22,0.00278655224001336,0.00241384691340901,0.37807172400335
23,0.00281329877446947,0.00251421507500717,0.532528191367012
24,0.00189892058110563,0.00180563560688099,0.257909032349485
25,0.00222283141508562,0.00223715681312926,0.216272216963835
26,0.00279427732028979,0.00204558488768635,-0.0630831737496266
27,0.0028839270396548,0.0018312548566183,0.0696614898746356
28,0.00288109628220794,0.00183506688469194,0.0155052518502355
29,0.00337514444553695,0.00226418454190752,0.169350507976912
30,0.00373201424134604,0.0021248839635506,0.106594323193391
31,0.00329024042304907,0.0019346234031864,0.143610035219507
34,0.0044730454217437,0.0025425338577765,-0.154091139160966
35,0.00422878883580377,0.00209332990730151,0.066198209292055
36,0.00363882319879758,0.00223607181668845,-0.0676904253346926
37,0.00335472543517494,0.00231805588625895,-0.0726150185800477
38,0.00277579773493095,0.00261828374337869,0.192952293484635
39,0.00289459522395839,0.00258689293835163,-0.0884964772079549
40,0.00203888978846662,0.00203273679884073,0.369732109120826
41,0.00211199933520945,0.0020492595503574,0.377672221182516
42,0.00343127050441245,0.00285520520780129,0.113677074811335
43,0.00300413018421325,0.00284064334171542,0.209262560422738
44,0.0038820690175511,0.0030357514595214,0.179984827018769
45,0.00381610706709665,0.00287507492673482,0.217684292917439
46,0.00358074037852529,0.00256310977227632,0.214527491002459
47,0.00329633828024193,0.00204843060590942,0.297789484827053
48,0.00182995832873224,0.00178972757163229,0.236982061677002
49,0.0022677886869617,0.00194236840624465,0.253125178462251
51,0.00238865568318484,0.00192858239642653,0.291707199225645
52,0.00302785800744342,0.00223196226815001,0.206442284136106
53,0.00369379336704812,0.00199312042492799,0.225378172730479
54,0.00277791758930445,0.00204434830288051,0.131466633079299
55,0.00269107588218683,0.00173349270695456,0.205130322124763
56,0.00359352487376596,0.00204804277249358,0.10863565412836
57,0.00355334422784881,0.0017637472677477,0.0165788640151778
58,0.00279077379848358,0.00177810242951277,0.237087909877059
59,0.00351854078248962,0.00218200028662118,0.144013074028914
60,0.00382023361950698,0.00228150559545173,-0.0675366882814779
61,0.00311765784090624,0.00211292873314097,0.15902361074368
62,0.00405133017318085,0.00234859369026728,-0.0925914080528901
63,0.00328077123106807,0.00246828241438043,0.043343410136834
64,0.00306137153648089,0.0025984311645686,0.189938308627387
65,0.00296497061712164,0.0025959064947169,0.216624990231845
66,0.00326725554753202,0.00265105896608251,0.209800752350437
67,0.00294168351247466,0.00255018757328017,0.0737621459964578
68,0.00329323258801272,0.00267851268937252,0.377959029241689
69,0.00396743223270493,0.00290517377067322,0.233793968030877
70,0.00322686829857079,0.00251201711236226,0.379484287318027
71,0.00355963981083842,0.00249005926174775,-0.0200350671352824
72,0.00190010649975575,0.00173940499910128,0.171465812366599
73,0.00212201850557646,0.0022131821089749,0.40259173515538
74,0.00202060817245955,0.0018399378811911,0.312810347375947
75,0.00336912085795828,0.00188205854823806,-0.0856374023993693
76,0.00308553974293844,0.00181650359428104,0.286962342843941
77,0.00398358107109407,0.00252811278548323,0.255546203537714
78,0.00335044816358747,0.00221198565878953,0.0937493940983068
79,0.00294239817231824,0.00207658295132086,0.130898727330294
80,0.00291159736938689,0.00195422475310497,0.284075831399827
81,0.00281557840306129,0.00188629119410102,0.14646023646749
82,0.00299364272314907,0.00171870170679612,0.1053909838267
83,0.00287993043997408,0.00158689710116216,0.243279595639895
84,0.00331324193799283,0.00182648826641869,0.204379246448714
85,0.0039742606440966,0.00247696674340967,0.0434743600108431
86,0.00309625613010404,0.00178309492482003,0.282501991299683
87,0.00383025387668665,0.00241700582550111,0.0210198236297304
88,0.00438148576294634,0.00290190954741399,-0.106185219034839
89,0.00347016577239107,0.00253681026823406,0.144741987378491
90,0.00335278715949362,0.00283954133845523,0.302812629658971
91,0.00418977069942203,0.00328814196857637,-0.150725188200348
92,0.00341960336076102,0.00271574229439796,0.00307578777891566
93,0.0033443150615167,0.00254184807916361,0.166287218512089
94,0.00330967360620531,0.00273329685099365,0.402257809574866
95,0.00377252568546799,0.00245523290359348,0.239344915254526
96,0.00274862787362099,0.00177290262392734,-0.0708746846888768
97,0.0023277295441564,0.00190573157303468,0.223359483987597
98,0.00256423700624854,0.00212798331232398,0.223050669920593
99,0.00320347621726512,0.0026221237896776,-0.0340497749542114
100,0.00273515444430083,0.00225218510441391,0.254558935262566
101,0.00255676226178339,0.00182242503649373,0.19875408734169
102,0.00244001908161829,0.00193972724463464,0.388959798008434
103,0.00378435310729056,0.00260559951997984,0.0723402668768303
104,0.00358836139065914,0.00247447395038644,-0.0171686501332063
105,0.00268793053409353,0.00168735488583175,0.156916186929076
106,0.00217068850352351,0.00136061881634408,0.898112725523521
107,0.00324499151917245,0.00192029448167927,0.0558818922739491
108,0.00371033763931079,0.00242931915944681,0.189281096512772
