"rlat","rlon","loc","scale","shape"
-1.2,-2.84,0.00486681848046301,0.00309793656204833,0.121580710618352
-1.2,-2.82,0.00441927678374657,0.00287426989049615,0.203888332065828
-1.2,-2.8,0.00368736952851313,0.00256298065216861,0.23844603855507
-1.2,-2.78,0.00379646444650834,0.00276297416298234,0.0808654753528655
-1.2,-2.76,0.00348085228236029,0.00248034984427347,0.366612790336263
-1.2,-2.74,0.00381431346455798,0.00206188528474241,0.286183759539637
-1.2,-2.72,0.00385827827799439,0.00191030437745372,0.231331830697053
-1.2,-2.7,0.00439276689361564,0.00276852703827814,0.135102172955585
-1.2,-2.68,0.0051464176526823,0.00309439230887828,0.193069511179815
-1.2,-2.66,0.00570700076408082,0.00364233711171269,0.161603767484646
-1.2,-2.64,0.00607969150916779,0.00373894225075779,0.131428827898152
-1.2,-2.62,0.00462936232020911,0.00333754479316493,0.187336289268823
-1.2,-2.6,0.00403280481614238,0.00323220789560405,0.21719455834345
-1.2,-2.58,0.00429778721902539,0.00315322165973523,0.20593887989101
-1.2,-2.56,0.00530509216529981,0.00399992953797527,0.032810252634608
-1.2,-2.54,0.00530845811308282,0.00352698778528206,0.00770582840337424
-1.2,-2.52,0.00425600124643521,0.00263057780511654,0.230438021163382
-1.2,-2.5,0.00375027665298865,0.00278214565874198,0.212995791935289
-1.2,-2.48,0.00439202726130617,0.0027325554215662,0.190212257097427
-1.2,-2.46,0.00486682858290225,0.0026626935437019,0.124940816961535
-1.2,-2.44,0.004484695734505,0.00240767342353951,0.223584202914367
-1.2,-2.42,0.00467336480381554,0.00280841166997371,-0.0476929443802658
-1.2,-2.4,0.00485920883501884,0.00261417265207271,-0.109659908823503
-1.2,-2.38,0.00470352762418043,0.00319162400601917,-0.0239020469019346
-1.2,-2.36,0.00506028284878032,0.00297322455047272,0.0105888341931858
-1.2,-2.34,0.00526638838312853,0.00260028562577253,0.125105886211123
-1.2,-2.32,0.00587210785121097,0.00282380969707798,0.0531161719316433
-1.2,-2.3,0.00582628597443764,0.0029708728070509,-0.0214910710221895
-1.2,-2.28,0.00587100187611511,0.00285651048472433,0.186706211730206
-1.2,-2.26,0.00624848704194184,0.00300912560259768,0.0678167028076105
-1.2,-2.24,0.00527954250341188,0.0022293010101222,0.163076209901745
-1.2,-2.22,0.00512095259598757,0.00218557733623693,0.161899182683403
-1.2,-2.2,0.00475186107798458,0.00258061740127781,0.341131748055948
-1.2,-2.18,0.00470930491022304,0.00247626155510591,0.399039403789542
-1.2,-2.16,0.00414352613743751,0.00248198402325327,0.334032983060465
-1.2,-2.14,0.00411993003282454,0.00266494653833421,0.0876865834762491
-1.2,-2.12,0.00335541038327546,0.0018003339408986,0.306592241823232
-1.2,-2.1,0.00276518861728582,0.00141752476201398,0.390684455280066
-1.2,-2.08,0.00279912726624269,0.00149066102859124,0.318935023190267
-1.2,-2.06,0.00315238120877825,0.00168134807681337,0.498065674387214
-1.2,-2.04,0.0040271726239761,0.00239855716292112,0.279153966435647
-1.2,-2.02,0.00461396060007216,0.00264565898567689,0.108112929150121
-1.2,-2,0.00399821029671847,0.0021515535798662,0.0772356837124973
-1.2,-1.98,0.00387980825538128,0.00227811648627555,0.133851872027955
-1.2,-1.96,0.00392108543835423,0.00226544431793452,0.128302978105611
