"block","loc","scale","shape"
24,0.00211099045873518,0.00116193971122046,0.0740511791811596
4,0.00271617741710166,0.00125455654652037,-0.174462757434899
27,0.00243912982520838,0.00105519120141649,-0.0746958686977172
5,0.0029179894951249,0.0011266078563288,-0.354935773688862
13,0.00196231039700237,0.000986642080745401,0.0316151052454917
26,0.00211474219837567,0.0011879699207877,0.141071844214796
14,0.00190059484357044,0.000758661966173993,-0.0178327307501788
19,0.0019903043541566,0.000898661784080376,-0.00949827259283478
10,0.00262514157369001,0.000997064482235072,-0.0520153327714317
21,0.00224865899307678,0.00107175446888097,-0.289112934822329
22,0.00191955934987464,0.000728741182621235,0.00703195388701234
23,0.00255245108182488,0.000883884472907111,-0.000659231856619029
15,0.00213231670569857,0.000730868021495121,0.0101974338749353
1,0.00213715156713381,0.000729949886613419,-0.218203368432536
7,0.00206663526400578,0.000865759811164507,0.15188014720832
0,0.00215351013419058,0.000964103021234187,-0.080932979396303
2,0.00159740792494925,0.000440136726819745,-0.0616195976513088
3,0.00234704916844306,0.000575649394070277,0.237195829690967
6,0.00187077008393842,0.000749938285197305,0.120227010127338
8,0.00175923465021559,0.00060149541525385,0.0925342691272367
9,0.00198643817629591,0.000585740345894883,0.271447762577615
11,0.00249815800119005,0.000723823463079446,0.0570737683041299
12,0.00188551054208238,0.000840942463923461,-0.0284302178231345
16,0.00239212866418801,0.000796357562099346,0.0571456136026042
17,0.00226737118728548,0.000702302919065448,-0.0370470832916788
18,0.00185297975315343,0.000779988572271821,0.135920278066933
20,0.00207519831373594,0.00100250154967532,0.0263086869246415
25,0.00222487884885834,0.00110084443831836,0.212667002647374
28,0.00224601239280013,0.000938487356486124,0.170976944633337
29,0.00245200991258684,0.00139492883979573,0.301333618366119
