block,year,month,to_change,constraint_begin,constraint_end,TOT_PR,time
24,1999,7,1,1999-07-04 19:00:00,1999-08-13 16:00:00,0.0010650890180841088,1999-07-13 15:00:00
4,2001,7,1,2001-07-02 22:00:00,2001-07-29 16:00:00,0.003696951549500227,2001-07-15 13:00:00
27,2002,7,1,2002-06-28 20:00:00,2002-07-29 21:00:00,0.0017214925028383732,2002-07-15 12:00:00
4,2003,6,1,2003-05-31 00:00:00,2003-06-26 15:00:00,0.0013560198713093996,2003-06-12 17:00:00
5,2003,6,1,2003-05-31 00:00:00,2003-06-26 16:00:00,0.002142209094017744,2003-06-14 15:00:00
13,2005,6,1,2005-05-31 00:00:00,2005-06-29 10:00:00,0.000788963632658124,2005-06-21 19:00:00
26,2005,6,1,2005-05-31 00:00:00,2005-06-29 09:00:00,0.0009522364707663655,2005-06-14 03:00:00
14,2005,7,1,2005-07-04 17:00:00,2005-07-28 04:00:00,0.0007855539442971349,2005-07-26 01:00:00
19,2005,7,1,2005-07-04 17:00:00,2005-08-22 15:00:00,0.0012078435393050313,2005-07-29 23:00:00
10,2005,8,1,2005-08-03 14:00:00,2005-09-01 00:00:00,0.0016685625305399299,2005-08-27 13:00:00
21,2005,8,1,2005-08-03 23:00:00,2005-09-01 00:00:00,0.0014756741002202034,2005-08-18 16:00:00
22,2005,8,1,2005-08-03 13:00:00,2005-09-01 00:00:00,0.0020805075764656067,2005-08-19 19:00:00
23,2005,8,1,2005-08-03 14:00:00,2005-09-01 00:00:00,0.0019307663897052407,2005-08-27 14:00:00
15,2006,8,1,2006-08-04 22:00:00,2006-09-01 00:00:00,0.002105589723214507,2006-08-19 17:00:00
1,2008,6,1,2008-05-31 00:00:00,2008-06-27 19:00:00,0.0010809004306793213,2008-06-06 19:00:00
5,2008,6,1,2008-05-31 00:00:00,2008-06-28 17:00:00,0.0025869670789688826,2008-06-01 22:00:00
7,2008,6,1,2008-05-31 00:00:00,2008-06-27 20:00:00,0.0009655766189098358,2008-06-06 23:00:00
0,1999,6,0,,,0.002385635,1999-06-02 14:00:00
1,1999,6,0,,,0.00258124,1999-06-03 21:00:00
2,1999,6,0,,,0.0012086355,1999-06-03 22:00:00
3,1999,6,0,,,0.003989501,1999-06-02 15:00:00
4,1999,6,0,,,0.005041578,1999-06-13 21:00:00
5,1999,6,0,,,0.0014611408,1999-06-13 22:00:00
6,1999,6,0,,,0.0017292282,1999-06-03 19:00:00
7,1999,6,0,,,0.0022112743,1999-06-13 20:00:00
8,1999,6,0,,,0.0019376249,1999-06-03 21:00:00
9,1999,6,0,,,0.0027102716,1999-06-06 18:00:00
10,1999,6,0,,,0.0061209253,1999-06-02 16:00:00
11,1999,6,0,,,0.008322202,1999-06-02 17:00:00
12,1999,6,0,,,0.0018385611,1999-06-02 17:00:00
13,1999,6,0,,,0.0013493899,1999-06-03 20:00:00
14,1999,6,0,,,0.002286402,1999-06-06 15:00:00
15,1999,6,0,,,0.0017800097,1999-06-03 22:00:00
16,1999,6,0,,,0.0039858646,1999-06-03 22:00:00
17,1999,6,0,,,0.0025897638,1999-06-02 20:00:00
18,1999,6,0,,,0.0019187927,1999-06-02 14:00:00
19,1999,6,0,,,0.004643676,1999-06-02 14:00:00
20,1999,6,0,,,0.002759087,1999-06-02 14:00:00
21,1999,6,0,,,0.0034187245,1999-06-27 01:00:00
22,1999,6,0,,,0.0018652403,1999-06-27 17:00:00
23,1999,6,0,,,0.004366808,1999-06-02 17:00:00
24,1999,6,0,,,0.0017661606,1999-06-29 19:00:00
25,1999,6,0,,,0.0012582705,1999-06-03 17:00:00
26,1999,6,0,,,0.005296411,1999-06-02 15:00:00
27,1999,6,0,,,0.0021524355,1999-06-06 15:00:00
28,1999,6,0,,,0.0028316705,1999-06-27 02:00:00
29,1999,6,0,,,0.002242889,1999-06-02 15:00:00
0,1999,7,0,,,0.0055447607,1999-07-05 18:00:00
1,1999,7,0,,,0.0028797807,1999-07-28 01:00:00
2,1999,7,0,,,0.0031592986,1999-07-28 02:00:00
3,1999,7,0,,,0.0035493216,1999-07-28 03:00:00
4,1999,7,0,,,0.0031870613,1999-07-31 21:00:00
5,1999,7,0,,,0.002992681,1999-07-15 21:00:00
6,1999,7,0,,,0.0040421174,1999-07-13 22:00:00
7,1999,7,0,,,0.006372419,1999-07-05 19:00:00
8,1999,7,0,,,0.0017636126,1999-07-13 23:00:00
9,1999,7,0,,,0.003273451,1999-07-04 20:00:00
10,1999,7,0,,,0.0022242907,1999-07-28 04:00:00
11,1999,7,0,,,0.0019551653,1999-07-04 19:00:00
12,1999,7,0,,,0.004400587,1999-07-05 19:00:00
13,1999,7,0,,,0.0031992274,1999-07-05 19:00:00
14,1999,7,0,,,0.002852041,1999-07-05 20:00:00
15,1999,7,0,,,0.0018821766,1999-07-14 00:00:00
16,1999,7,0,,,0.0020444544,1999-07-28 05:00:00
17,1999,7,0,,,0.0026991135,1999-07-28 06:00:00
18,1999,7,0,,,0.0019096554,1999-07-05 19:00:00
19,1999,7,0,,,0.0042240913,1999-07-05 20:00:00
20,1999,7,0,,,0.0018713004,1999-07-06 01:00:00
21,1999,7,0,,,0.0014612265,1999-07-13 17:00:00
22,1999,7,0,,,0.002231081,1999-07-05 17:00:00
23,1999,7,0,,,0.0025396245,1999-07-28 06:00:00
