block,year,month,to_change,constraint_begin,constraint_end,TOT_PR,time
96,1999,6,1,1999-05-31 00:00:00,1999-06-29 17:00:00,0.0010958382626995444,1999-06-05 10:00:00
104,2000,6,1,2000-05-31 00:00:00,2000-06-28 05:00:00,0.0006400963757187128,2000-06-03 15:00:00
9,2001,7,1,2001-06-16 15:00:00,2001-07-29 16:00:00,0.002108851447701454,2001-07-29 01:00:00
21,2001,7,1,2001-06-16 15:00:00,2001-07-30 08:00:00,0.0037203782703727484,2001-07-09 13:00:00
70,2001,7,1,2001-07-03 11:00:00,2001-07-30 07:00:00,0.0020535674411803484,2001-07-15 12:00:00
81,2001,7,1,2001-07-03 11:00:00,2001-07-29 12:00:00,0.0016675980295985937,2001-07-28 15:00:00
53,2002,8,1,2002-08-05 06:00:00,2002-09-01 00:00:00,0.0017050503520295024,2002-08-11 20:00:00
1,2002,7,1,2002-06-28 18:00:00,2002-07-29 18:00:00,0.0019250025507062674,2002-07-10 07:00:00
22,2002,7,1,2002-06-10 01:00:00,2002-07-30 02:00:00,0.0048138294368982315,2002-07-12 22:00:00
67,2002,7,1,2002-06-24 17:00:00,2002-07-29 15:00:00,0.002078798832371831,2002-07-13 17:00:00
69,2002,7,1,2002-06-08 18:00:00,2002-07-30 12:00:00,0.0021848524920642376,2002-07-21 07:00:00
103,2002,7,1,2002-06-28 20:00:00,2002-07-29 21:00:00,0.0022129686549305916,2002-07-13 12:00:00
8,2003,6,1,2003-05-31 00:00:00,2003-06-26 15:00:00,0.002433248795568943,2003-06-01 19:00:00
36,2005,6,1,2005-05-31 00:00:00,2005-06-29 11:00:00,0.0033627275843173265,2005-06-24 18:00:00
48,2005,6,1,2005-05-31 00:00:00,2005-06-29 09:00:00,0.0022555910982191563,2005-06-03 21:00:00
72,2005,6,1,2005-05-31 00:00:00,2005-06-29 08:00:00,0.0025554466992616653,2005-06-21 18:00:00
73,2005,6,1,2005-05-31 00:00:00,2005-06-29 08:00:00,0.0018676165491342545,2005-06-21 18:00:00
74,2005,6,1,2005-05-31 00:00:00,2005-06-29 09:00:00,0.0021575598511844873,2005-06-21 18:00:00
101,2005,6,1,2005-05-31 00:00:00,2005-06-29 09:00:00,0.0013499177293851972,2005-06-24 22:00:00
9,2006,6,1,2006-05-31 00:00:00,2006-06-27 22:00:00,0.0008448713924735785,2006-06-21 19:00:00
55,2006,8,1,2006-08-04 22:00:00,2006-09-01 00:00:00,0.002389167435467243,2006-08-28 18:00:00
67,2006,8,1,2006-08-04 22:00:00,2006-09-01 00:00:00,0.0014610051875934005,2006-08-08 11:00:00
10,2006,7,1,2006-07-05 18:00:00,2006-08-11 01:00:00,0.0006364099099300802,2006-07-11 23:00:00
22,2006,7,1,2006-07-05 18:00:00,2006-08-19 02:00:00,0.001265640603378415,2006-07-13 15:00:00
4,2008,6,1,2008-05-31 00:00:00,2008-06-28 13:00:00,0.001176126184873283,2008-06-06 19:00:00
10,2008,6,1,2008-05-31 00:00:00,2008-06-28 17:00:00,0.004113256465643644,2008-06-07 04:00:00
11,2008,6,1,2008-05-31 00:00:00,2008-06-28 17:00:00,0.0032307254150509834,2008-06-16 22:00:00
27,2008,6,1,2008-05-31 00:00:00,2008-06-27 20:00:00,0.0010862525086849928,2008-06-10 16:00:00
33,2008,6,1,2008-05-31 00:00:00,2008-06-28 16:00:00,0.0017994371009990573,2008-06-26 16:00:00
38,2008,6,1,2008-05-31 00:00:00,2008-06-28 04:00:00,0.0010441378690302372,2008-06-07 08:00:00
20,2009,7,1,2009-06-11 11:00:00,2009-07-27 19:00:00,0.0017554482910782099,2009-07-04 15:00:00
1,2005,7,1,2005-07-04 15:00:00,2005-08-13 13:00:00,0.001529269153252244,2005-07-29 19:00:00
58,2005,7,1,2005-07-04 19:00:00,2005-07-28 01:00:00,0.003257674165070057,2005-07-25 13:00:00
65,2005,7,1,2005-06-08 22:00:00,2005-07-28 05:00:00,0.0011274234857410192,2005-07-11 09:00:00
80,2005,7,1,2005-07-04 19:00:00,2005-07-28 00:00:00,0.0020489210728555918,2005-07-18 10:00:00
87,2005,7,1,2005-07-04 17:00:00,2005-08-22 15:00:00,0.0015884474851191044,2005-07-11 16:00:00
39,2005,8,1,2005-08-03 20:00:00,2005-09-01 00:00:00,0.001497979974374175,2005-08-27 03:00:00
45,2005,8,1,2005-08-04 16:00:00,2005-09-01 00:00:00,0.0021124379709362984,2005-08-19 16:00:00
46,2005,8,1,2005-08-04 15:00:00,2005-09-01 00:00:00,0.0023919735103845596,2005-08-19 19:00:00
47,2005,8,1,2005-08-03 22:00:00,2005-09-01 00:00:00,0.0022026703227311373,2005-08-27 17:00:00
90,2005,8,1,2005-08-03 23:00:00,2005-09-01 00:00:00,0.0018001978751271963,2005-08-27 13:00:00
91,2005,8,1,2005-08-03 23:00:00,2005-09-01 00:00:00,0.0009083737386390567,2005-08-27 13:00:00
0,1999,6,0,,,0.0053797984,1999-06-02 14:00:00
1,1999,6,0,,,0.0037304359,1999-06-13 19:00:00
2,1999,6,0,,,0.0032148769,1999-06-02 16:00:00
3,1999,6,0,,,0.0025262297,1999-06-03 21:00:00
4,1999,6,0,,,0.0019887434,1999-06-03 22:00:00
5,1999,6,0,,,0.0021835035,1999-06-06 12:00:00
6,1999,6,0,,,0.006635076,1999-06-02 15:00:00
7,1999,6,0,,,0.004013621,1999-06-13 20:00:00
8,1999,6,0,,,0.004984941,1999-06-02 16:00:00
9,1999,6,0,,,0.00335935,1999-06-12 04:00:00
10,1999,6,0,,,0.0033689574,1999-06-12 05:00:00
11,1999,6,0,,,0.003434704,1999-06-02 00:00:00
12,1999,6,0,,,0.0020444782,1999-06-14 22:00:00
13,1999,6,0,,,0.003848507,1999-06-13 19:00:00
14,1999,6,0,,,0.00267945,1999-06-13 19:00:00
15,1999,6,0,,,0.003062977,1999-06-03 21:00:00
16,1999,6,0,,,0.0010966858,1999-06-03 21:00:00
17,1999,6,0,,,0.0016496285,1999-06-03 22:00:00
18,1999,6,0,,,0.0065183495,1999-06-06 18:00:00
19,1999,6,0,,,0.0037223639,1999-06-27 07:00:00
20,1999,6,0,,,0.012534827,1999-06-02 16:00:00
21,1999,6,0,,,0.005843075,1999-06-13 21:00:00
22,1999,6,0,,,0.00396629,1999-06-27 21:00:00
23,1999,6,0,,,0.0019861702,1999-06-14 14:00:00
24,1999,6,0,,,0.003128741,1999-06-14 22:00:00
25,1999,6,0,,,0.0018630332,1999-06-27 12:00:00
26,1999,6,0,,,0.0017859212,1999-06-02 13:00:00
27,1999,6,0,,,0.0041319183,1999-06-13 20:00:00
28,1999,6,0,,,0.0029439323,1999-06-02 14:00:00
29,1999,6,0,,,0.0016891126,1999-06-27 17:00:00
30,1999,6,0,,,0.002344965,1999-06-06 15:00:00
31,1999,6,0,,,0.0044523207,1999-06-06 16:00:00
32,1999,6,0,,,0.011530038,1999-06-02 16:00:00
33,1999,6,0,,,0.0047362265,1999-06-02 19:00:00
34,1999,6,0,,,0.017412342,1999-06-02 17:00:00
35,1999,6,0,,,0.0033521866,1999-06-27 15:00:00
36,1999,6,0,,,0.0028955517,1999-06-03 17:00:00
37,1999,6,0,,,0.002430535,1999-06-02 14:00:00
38,1999,6,0,,,0.0067497697,1999-06-02 14:00:00
