block,year,month,to_change,constraint_begin,constraint_end,TOT_PR,time
45,2000,6,1,2000-05-31 00:00:00,2000-06-28 05:00:00,0.0006520510651171207,2000-06-05 16:00:00
6,2001,8,1,2001-08-04 23:00:00,2001-09-01 00:00:00,0.0037681395187973976,2001-08-30 00:00:00
28,2002,8,1,2002-08-05 07:00:00,2002-09-01 00:00:00,0.0016401730244979262,2002-08-22 06:00:00
7,2003,6,1,2003-05-31 00:00:00,2003-06-26 16:00:00,0.0022116415202617645,2003-06-12 18:00:00
6,2003,7,1,2003-07-03 18:00:00,2003-08-13 00:00:00,0.0029894609469920397,2003-07-22 19:00:00
16,2005,6,1,2005-05-31 00:00:00,2005-06-29 11:00:00,0.0017117145471274853,2005-06-24 18:00:00
33,2005,6,1,2005-05-31 00:00:00,2005-06-29 08:00:00,0.0020039905793964863,2005-06-21 04:00:00
43,2005,6,1,2005-05-31 00:00:00,2005-06-29 09:00:00,0.0011519064428284764,2005-06-14 02:00:00
34,2005,7,1,2005-07-04 17:00:00,2005-08-22 15:00:00,0.0017903614789247513,2005-07-11 13:00:00
36,2005,7,1,2005-07-04 19:00:00,2005-07-27 23:00:00,0.0017212543170899153,2005-07-18 10:00:00
22,2005,8,1,2005-08-04 16:00:00,2005-09-01 00:00:00,0.001834752969443798,2005-08-19 16:00:00
23,2005,8,1,2005-08-03 22:00:00,2005-09-01 00:00:00,0.002679642289876938,2005-08-19 17:00:00
6,2006,7,1,2006-07-05 18:00:00,2006-08-19 02:00:00,0.0028957203030586243,2006-07-23 19:00:00
28,2006,8,1,2006-08-04 22:00:00,2006-09-01 00:00:00,0.002518421970307827,2006-08-15 23:00:00
1,2008,6,1,2008-05-31 00:00:00,2008-06-27 19:00:00,0.0010059690102934837,2008-06-06 20:00:00
7,2008,6,1,2008-05-31 00:00:00,2008-06-28 17:00:00,0.0030944645404815674,2008-06-01 22:00:00
10,2008,6,1,2008-05-31 00:00:00,2008-06-27 20:00:00,0.001000687712803483,2008-06-10 16:00:00
0,1999,6,0,,,0.0040175053,1999-06-02 14:00:00
1,1999,6,0,,,0.0019570235,1999-06-03 21:00:00
2,1999,6,0,,,0.0021517705,1999-06-03 21:00:00
3,1999,6,0,,,0.00159102,1999-06-06 12:00:00
4,1999,6,0,,,0.0050875526,1999-06-02 15:00:00
5,1999,6,0,,,0.0074904677,1999-06-02 16:00:00
6,1999,6,0,,,0.0032194408,1999-06-13 21:00:00
7,1999,6,0,,,0.0019599402,1999-06-13 22:00:00
8,1999,6,0,,,0.0023455124,1999-06-14 22:00:00
9,1999,6,0,,,0.00280427,1999-06-13 19:00:00
10,1999,6,0,,,0.0024378055,1999-06-13 20:00:00
11,1999,6,0,,,0.001490627,1999-06-03 22:00:00
12,1999,6,0,,,0.003952237,1999-06-06 16:00:00
13,1999,6,0,,,0.009063472,1999-06-02 16:00:00
14,1999,6,0,,,0.0042337948,1999-06-02 17:00:00
15,1999,6,0,,,0.0056734113,1999-06-02 17:00:00
16,1999,6,0,,,0.0028169472,1999-06-03 19:00:00
17,1999,6,0,,,0.0047218665,1999-06-02 14:00:00
18,1999,6,0,,,0.0022946522,1999-06-03 20:00:00
19,1999,6,0,,,0.0033849978,1999-06-13 21:00:00
20,1999,6,0,,,0.0020244038,1999-06-03 22:00:00
21,1999,6,0,,,0.00523818,1999-06-02 16:00:00
22,1999,6,0,,,0.004949334,1999-06-02 19:00:00
23,1999,6,0,,,0.006315844,1999-06-02 17:00:00
24,1999,6,0,,,0.0022968682,1999-06-02 17:00:00
25,1999,6,0,,,0.0017947232,1999-06-27 10:00:00
26,1999,6,0,,,0.0011442823,1999-06-15 20:00:00
27,1999,6,0,,,0.0023080779,1999-06-13 20:00:00
28,1999,6,0,,,0.002287741,1999-06-27 14:00:00
29,1999,6,0,,,0.0046006227,1999-06-03 22:00:00
30,1999,6,0,,,0.0028844057,1999-06-06 20:00:00
31,1999,6,0,,,0.002637045,1999-06-02 20:00:00
32,1999,6,0,,,0.0020203362,1999-06-26 23:00:00
33,1999,6,0,,,0.008741241,1999-06-02 14:00:00
34,1999,6,0,,,0.0024297256,1999-06-29 12:00:00
35,1999,6,0,,,0.0035997685,1999-06-02 14:00:00
36,1999,6,0,,,0.0040484555,1999-06-27 01:00:00
37,1999,6,0,,,0.003194195,1999-06-13 20:00:00
38,1999,6,0,,,0.0022366235,1999-06-27 03:00:00
39,1999,6,0,,,0.0057917326,1999-06-02 17:00:00
40,1999,6,0,,,0.0015794453,1999-06-29 19:00:00
41,1999,6,0,,,0.0011933651,1999-06-27 00:00:00
42,1999,6,0,,,0.0013149505,1999-06-15 17:00:00
43,1999,6,0,,,0.007343677,1999-06-02 15:00:00
44,1999,6,0,,,0.0029019914,1999-06-27 01:00:00
45,1999,6,0,,,0.0023157743,1999-06-27 00:00:00
46,1999,6,0,,,0.0029604256,1999-06-27 02:00:00
47,1999,6,0,,,0.0023235132,1999-06-02 17:00:00
0,1999,7,0,,,0.005093516,1999-07-05 18:00:00
1,1999,7,0,,,0.0033472118,1999-07-06 02:00:00
2,1999,7,0,,,0.0032319194,1999-07-28 01:00:00
3,1999,7,0,,,0.0032030407,1999-07-28 02:00:00
4,1999,7,0,,,0.0040509575,1999-07-28 03:00:00
5,1999,7,0,,,0.0026659945,1999-07-31 21:00:00
6,1999,7,0,,,0.0046718256,1999-07-15 21:00:00
7,1999,7,0,,,0.0033793822,1999-07-19 22:00:00
8,1999,7,0,,,0.008400015,1999-07-05 18:00:00
9,1999,7,0,,,0.0033636186,1999-07-13 22:00:00
10,1999,7,0,,,0.0027415869,1999-07-05 19:00:00
11,1999,7,0,,,0.002036917,1999-07-28 03:00:00
12,1999,7,0,,,0.0032727122,1999-07-28 03:00:00
13,1999,7,0,,,0.0043273894,1999-07-28 04:00:00
14,1999,7,0,,,0.0028186936,1999-07-13 15:00:00
15,1999,7,0,,,0.0038836084,1999-07-04 19:00:00
16,1999,7,0,,,0.006132657,1999-07-13 22:00:00
17,1999,7,0,,,0.013246763,1999-07-05 19:00:00
18,1999,7,0,,,0.0032898728,1999-07-05 19:00:00
19,1999,7,0,,,0.0028228513,1999-07-13 15:00:00
20,1999,7,0,,,0.0020096912,1999-07-28 04:00:00
21,1999,7,0,,,0.0025317972,1999-07-04 20:00:00
22,1999,7,0,,,0.002403301,1999-07-28 05:00:00
23,1999,7,0,,,0.0017883156,1999-07-31 23:00:00
24,1999,7,0,,,0.0029453777,1999-07-05 19:00:00
25,1999,7,0,,,0.004483596,1999-07-05 19:00:00
26,1999,7,0,,,0.006541563,1999-07-05 20:00:00
27,1999,7,0,,,0.0028250685,1999-07-05 20:00:00
28,1999,7,0,,,0.0026893858,1999-07-13 16:00:00
29,1999,7,0,,,0.0021352177,1999-07-04 20:00:00
