"rlat","rlon","loc_pred","scale_pred","shape_pred"
-1.2,-2.84,0.00214044343159731,0.00228171641967627,0.254602734173759
-1.2,-2.82,0.00214192423265453,0.00228171641967627,0.254602734173759
-1.2,-2.8,0.00218374100158983,0.00228171641967627,0.254602734173759
-1.2,-2.78,0.00230036747168745,0.00228171641967627,0.254602734173759
-1.2,-2.76,0.00235525244411637,0.00228171641967627,0.254602734173759
-1.2,-2.74,0.00223143795902111,0.00228171641967627,0.254602734173759
-1.2,-2.72,0.00237336924830658,0.00246575397323165,0.254602734173759
-1.2,-2.7,0.00245014827468998,0.00246575397323165,0.254602734173759
-1.2,-2.68,0.00261417315511937,0.00246575397323165,0.254602734173759
-1.2,-2.66,0.00289829427952798,0.00244948466609458,0.254602734173759
-1.2,-2.64,0.00277179189851072,0.00244948466609458,0.254602734173759
-1.2,-2.62,0.00264285161818202,0.00244948466609458,0.254602734173759
-1.2,-2.6,0.00298193800615895,0.00284049040762953,0.254602734173759
-1.2,-2.58,0.00299815511312078,0.00284049040762953,0.254602734173759
-1.2,-2.56,0.00309694128458846,0.00284049040762953,0.254602734173759
-1.2,-2.54,0.00332866554200838,0.00289817981846193,0.254602734173759
-1.2,-2.52,0.00319771430086939,0.00289817981846193,0.254602734173759
-1.2,-2.5,0.00315146062041517,0.00289817981846193,0.254602734173759
-1.2,-2.48,0.00340923184842337,0.00295898569802406,0.254602734173759
-1.2,-2.46,0.00359861840646441,0.00295898569802406,0.254602734173759
-1.2,-2.44,0.00367421708868773,0.00295898569802406,0.254602734173759
-1.2,-2.42,0.00372080568871382,0.0028482558868164,0.254602734173759
-1.2,-2.4,0.00368649379543108,0.0028482558868164,0.254602734173759
-1.2,-2.38,0.00374468479171103,0.0028482558868164,0.254602734173759
-1.2,-2.36,0.0038971473302201,0.00286336801480655,0.254602734173759
-1.2,-2.34,0.00403156149624659,0.00286336801480655,0.254602734173759
-1.2,-2.32,0.00408883080500186,0.00286336801480655,0.254602734173759
-1.2,-2.3,0.00413897775962597,0.00275557056486489,0.254602734173759
-1.2,-2.28,0.00414841370039085,0.00275557056486489,0.254602734173759
-1.2,-2.26,0.00418065759682458,0.00275557056486489,0.254602734173759
-1.2,-2.24,0.0041866231645551,0.00274785230200503,0.254602734173759
-1.2,-2.22,0.00417688251095183,0.00274785230200503,0.254602734173759
-1.2,-2.2,0.00412459032333834,0.00274785230200503,0.254602734173759
-1.2,-2.18,0.00410876025563179,0.00292220568457266,0.254602734173759
-1.2,-2.16,0.00413481747903633,0.00292220568457266,0.254602734173759
-1.2,-2.14,0.0040769578281209,0.00292220568457266,0.254602734173759
-1.2,-2.12,0.00390837841096556,0.00296044343884235,0.254602734173759
-1.2,-2.1,0.00366096970548539,0.00296044343884235,0.254602734173759
-1.2,-2.08,0.0035789186138014,0.00296044343884235,0.254602734173759
-1.2,-2.06,0.00354040306999873,0.00305772218288489,0.254602734173759
-1.2,-2.04,0.00366197956881201,0.00305772218288489,0.254602734173759
-1.2,-2.02,0.00388060161021869,0.00305772218288489,0.254602734173759
-1.2,-2,0.00381864605260614,0.00298703353665216,0.254602734173759
-1.2,-1.98,0.00383499332052643,0.00298703353665216,0.254602734173759
-1.2,-1.96,0.00382223212232539,0.00298703353665216,0.254602734173759
-1.2,-1.94,0.00371696332920733,0.00291560234209057,0.254602734173759
-1.2,-1.92,0.00360173961195063,0.00291560234209057,0.254602734173759
