"aic","col","param"
-2897428.85471978,"",""
-2891971.49122019,"loc_loc1","mu"
-2895749.45595784,"loc_alt","mu"
-2896483.85269314,"loc_loc2","mu"
-2897151.03590005,"loc_shape1","mu"
-2896852.43856416,"loc_alt_mean50","mu"
-2896977.92905209,"scale_loc1","scale"
-2895955.55191268,"scale_scale1","scale"
-2896482.74812659,"scale_scale2","scale"
