rlat,rlon,block,block1,block2,block3,block4
-1.2,-2.84,0,0,1,6,7
-1.18,-2.84,0,0,6,1,7
-1.16,-2.84,0,0,6,1,7
-1.14,-2.84,0,0,6,1,7
-1.12,-2.84,0,0,6,1,7
-1.1,-2.84,0,0,6,1,7
-1.08,-2.84,0,0,6,1,7
-1.06,-2.84,0,0,6,1,7
-1.04,-2.84,0,0,6,1,7
-1.02,-2.84,0,0,6,1,7
-1.0,-2.84,0,0,6,1,7
-0.98,-2.84,0,0,6,1,7
-0.96,-2.84,0,0,6,1,7
-0.94,-2.84,0,0,6,1,7
-0.92,-2.84,0,0,6,1,7
-0.9,-2.84,0,0,6,1,7
-0.88,-2.84,0,0,6,1,7
-0.86,-2.84,0,0,6,1,7
-0.84,-2.84,0,0,6,1,7
-0.82,-2.84,0,0,6,1,7
-0.8,-2.84,0,0,6,1,7
-0.78,-2.84,0,0,6,1,7
-0.76,-2.84,0,0,6,1,7
-0.74,-2.84,0,0,6,1,7
-0.72,-2.84,6,6,0,7,12
-0.7,-2.84,6,6,0,12,7
-0.68,-2.84,6,6,0,12,7
-0.66,-2.84,6,6,0,12,7
-0.64,-2.84,6,6,0,12,7
-0.62,-2.84,6,6,0,12,7
-0.6,-2.84,6,6,0,12,7
-0.58,-2.84,6,6,0,12,7
-0.56,-2.84,6,6,0,12,7
-0.54,-2.84,6,6,0,12,7
-0.52,-2.84,6,6,0,12,7
-0.5,-2.84,6,6,0,12,7
-0.48,-2.84,6,6,12,0,7
-0.46,-2.84,6,6,12,0,7
-0.44,-2.84,6,6,12,0,7
-0.42,-2.84,6,6,12,0,7
-0.4,-2.84,6,6,12,0,7
-0.38,-2.84,6,6,12,0,7
-0.36,-2.84,6,6,12,0,7
-0.34,-2.84,6,6,12,0,7
-0.32,-2.84,6,6,12,0,7
-0.3,-2.84,6,6,12,0,7
-0.28,-2.84,6,6,12,0,7
-0.26,-2.84,6,6,12,7,0
-0.24,-2.84,12,12,6,13,18
-0.22,-2.84,12,12,6,18,13
-0.2,-2.84,12,12,6,18,13
-0.18,-2.84,12,12,6,18,13
-0.16,-2.84,12,12,6,18,13
-0.14,-2.84,12,12,6,18,13
-0.12,-2.84,12,12,6,18,13
-0.1,-2.84,12,12,6,18,13
-0.08,-2.84,12,12,6,18,13
-0.06,-2.84,12,12,6,18,13
-0.04,-2.84,12,12,6,18,13
-0.02,-2.84,12,12,6,18,13
0.0,-2.84,12,12,18,6,13
0.02,-2.84,12,12,18,6,13
0.04,-2.84,12,12,18,6,13
0.06,-2.84,12,12,18,6,13
0.08,-2.84,12,12,18,6,13
0.1,-2.84,12,12,18,6,13
0.12,-2.84,12,12,18,6,13
0.14,-2.84,12,12,18,6,13
0.16,-2.84,12,12,18,6,24
0.18,-2.84,12,12,18,24,6
0.2,-2.84,12,12,18,24,6
0.22,-2.84,12,12,18,24,13
0.24,-2.84,18,18,12,24,19
0.26,-2.84,18,18,12,24,19
0.28,-2.84,18,18,12,24,19
0.3,-2.84,18,18,12,24,19
0.32,-2.84,18,18,12,24,19
0.34,-2.84,18,18,12,24,19
0.36,-2.84,18,18,12,24,19
0.38,-2.84,18,18,12,24,19
0.4,-2.84,18,18,12,24,19
0.42,-2.84,18,18,24,12,19
0.44,-2.84,18,18,24,12,19
0.46,-2.84,18,18,24,12,19
0.48,-2.84,18,18,24,12,19
0.5,-2.84,18,18,24,12,19
0.52,-2.84,18,18,24,12,19
0.54,-2.84,18,18,24,12,19
0.56,-2.84,18,18,24,12,19
0.58,-2.84,18,18,24,12,19
0.6,-2.84,18,18,24,12,19
0.62,-2.84,18,18,24,12,19
0.64,-2.84,18,18,24,12,19
0.66,-2.84,18,18,24,12,25
0.68,-2.84,18,18,24,25,12
0.7,-2.84,18,18,24,25,19
0.72,-2.84,24,24,18,25,19
0.74,-2.84,24,24,18,25,19
0.76,-2.84,24,24,18,25,19
0.78,-2.84,24,24,18,25,19
0.8,-2.84,24,24,18,25,19
0.82,-2.84,24,24,18,25,19
0.84,-2.84,24,24,18,25,19
0.86,-2.84,24,24,18,25,19
0.88,-2.84,24,24,18,25,19
0.9,-2.84,24,24,18,25,19
0.92,-2.84,24,24,18,25,19
0.94,-2.84,24,24,18,25,19
-1.2,-2.82,0,0,1,6,7
-1.18,-2.82,0,0,1,6,7
-1.16,-2.82,0,0,6,1,7
-1.14,-2.82,0,0,6,1,7
-1.12,-2.82,0,0,6,1,7
-1.1,-2.82,0,0,6,1,7
-1.08,-2.82,0,0,6,1,7
-1.06,-2.82,0,0,6,1,7
-1.04,-2.82,0,0,6,1,7
-1.02,-2.82,0,0,6,1,7
-1.0,-2.82,0,0,6,1,7
-0.98,-2.82,0,0,6,1,7
-0.96,-2.82,0,0,6,1,7
-0.94,-2.82,0,0,6,1,7
-0.92,-2.82,0,0,6,1,7
-0.9,-2.82,0,0,6,1,7
-0.88,-2.82,0,0,6,1,7
-0.86,-2.82,0,0,6,1,7
-0.84,-2.82,0,0,6,1,7
-0.82,-2.82,0,0,6,1,7
-0.8,-2.82,0,0,6,1,7
-0.78,-2.82,0,0,6,1,7
-0.76,-2.82,0,0,6,1,7
-0.74,-2.82,0,0,6,1,7
-0.72,-2.82,6,6,0,7,1
-0.7,-2.82,6,6,0,7,12
-0.68,-2.82,6,6,0,12,7
-0.66,-2.82,6,6,0,12,7
-0.64,-2.82,6,6,0,12,7
-0.62,-2.82,6,6,0,12,7
-0.6,-2.82,6,6,0,12,7
-0.58,-2.82,6,6,0,12,7
-0.56,-2.82,6,6,0,12,7
-0.54,-2.82,6,6,0,12,7
-0.52,-2.82,6,6,0,12,7
-0.5,-2.82,6,6,0,12,7
-0.48,-2.82,6,6,12,0,7
-0.46,-2.82,6,6,12,0,7
-0.44,-2.82,6,6,12,0,7
-0.42,-2.82,6,6,12,0,7
-0.4,-2.82,6,6,12,0,7
-0.38,-2.82,6,6,12,0,7
-0.36,-2.82,6,6,12,0,7
-0.34,-2.82,6,6,12,0,7
-0.32,-2.82,6,6,12,0,7
-0.3,-2.82,6,6,12,0,7
-0.28,-2.82,6,6,12,7,0
-0.26,-2.82,6,6,12,7,13
-0.24,-2.82,12,12,6,13,7
-0.22,-2.82,12,12,6,13,18
-0.2,-2.82,12,12,6,18,13
-0.18,-2.82,12,12,6,18,13
-0.16,-2.82,12,12,6,18,13
-0.14,-2.82,12,12,6,18,13
-0.12,-2.82,12,12,6,18,13
-0.1,-2.82,12,12,6,18,13
-0.08,-2.82,12,12,6,18,13
-0.06,-2.82,12,12,6,18,13
-0.04,-2.82,12,12,6,18,13
-0.02,-2.82,12,12,6,18,13
0.0,-2.82,12,12,18,6,13
0.02,-2.82,12,12,18,6,13
0.04,-2.82,12,12,18,6,13
0.06,-2.82,12,12,18,6,13
0.08,-2.82,12,12,18,6,13
0.1,-2.82,12,12,18,6,13
0.12,-2.82,12,12,18,6,13
0.14,-2.82,12,12,18,6,13
0.16,-2.82,12,12,18,6,24
0.18,-2.82,12,12,18,24,6
0.2,-2.82,12,12,18,24,13
0.22,-2.82,12,12,18,24,13
0.24,-2.82,18,18,12,24,19
0.26,-2.82,18,18,12,24,19
0.28,-2.82,18,18,12,24,19
0.3,-2.82,18,18,12,24,19
0.32,-2.82,18,18,12,24,19
0.34,-2.82,18,18,12,24,19
0.36,-2.82,18,18,12,24,19
0.38,-2.82,18,18,12,24,19
0.4,-2.82,18,18,12,24,19
0.42,-2.82,18,18,24,12,19
0.44,-2.82,18,18,24,12,19
0.46,-2.82,18,18,24,12,19
0.48,-2.82,18,18,24,12,19
0.5,-2.82,18,18,24,12,19
0.52,-2.82,18,18,24,12,19
0.54,-2.82,18,18,24,12,19
0.56,-2.82,18,18,24,12,19
0.58,-2.82,18,18,24,12,19
0.6,-2.82,18,18,24,12,19
0.62,-2.82,18,18,24,12,19
0.64,-2.82,18,18,24,12,19
0.66,-2.82,18,18,24,12,25
0.68,-2.82,18,18,24,25,19
0.7,-2.82,18,18,24,25,19
0.72,-2.82,24,24,18,25,19
0.74,-2.82,24,24,18,25,19
0.76,-2.82,24,24,18,25,19
0.78,-2.82,24,24,18,25,19
0.8,-2.82,24,24,18,25,19
0.82,-2.82,24,24,18,25,19
0.84,-2.82,24,24,18,25,19
0.86,-2.82,24,24,18,25,19
0.88,-2.82,24,24,18,25,19
0.9,-2.82,24,24,18,25,19
0.92,-2.82,24,24,18,25,19
0.94,-2.82,24,24,18,25,19
-1.2,-2.8,0,0,1,6,7
-1.18,-2.8,0,0,1,6,7
-1.16,-2.8,0,0,1,6,7
-1.14,-2.8,0,0,6,1,7
-1.12,-2.8,0,0,6,1,7
-1.1,-2.8,0,0,6,1,7
-1.08,-2.8,0,0,6,1,7
-1.06,-2.8,0,0,6,1,7
-1.04,-2.8,0,0,6,1,7
-1.02,-2.8,0,0,6,1,7
-1.0,-2.8,0,0,6,1,7
-0.98,-2.8,0,0,6,1,7
-0.96,-2.8,0,0,6,1,7
-0.94,-2.8,0,0,6,1,7
